player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"South, Kareem",So.,2017-18,G,75,29,118,277,0.426,40,108,0.370,54,63,0.857,125,4.310,34,1.172,3,0.103,29,1.000,330,11.379,50,0,0,1737702,2018,26172
"Toney, Emmanuel",Sr.,2017-18,G,74,6,16,33,0.485,8,17,0.471,3,6,0.500,14,2.333,16,2.667,2,0.333,5,0.833,43,7.167,12,0,0,1510027,2018,26172
"Cobb, Chase",So.,2017-18,,73,6,1,9,0.111,0,7,0.000,0,0,0.000,2,0.333,4,0.667,0,0.000,1,0.167,2,0.333,4,0,0,1967702,2018,2
"Farquhar, Hayden",Jr.,2017-18,F,79,31,42,111,0.378,16,70,0.229,10,17,0.588,77,2.484,11,0.355,9,0.290,13,0.419,110,3.548,18,0,0,1744197,2018,2
"Foster, Tevin",Sr.,2017-18,G,,32,122,291,0.419,46,145,0.317,105,131,0.802,99,3.094,112,3.500,4,0.125,47,1.469,395,12.344,85,0,0,1967728,2018,2
"Franklin, Jaylen",Jr.,2017-18,G,74,32,142,255,0.557,4,21,0.190,48,89,0.539,125,3.906,143,4.469,6,0.188,59,1.844,336,10.500,86,1,0,1744194,2018,2
"Friday, Jalone",So.,2017-18,C,81,32,161,353,0.456,46,135,0.341,59,84,0.702,162,5.063,16,0.500,50,1.563,10,0.313,427,13.344,53,3,0,1847908,2018,2
"Green, Drake",Sr.,2017-18,G,75,32,47,111,0.423,32,86,0.372,6,7,0.857,38,1.188,29,0.906,2,0.063,15,0.469,132,4.125,25,0,0,1625911,2018,2
"Hiepler, Paul",Fr.,2017-18,,76,4,2,3,0.667,1,2,0.500,0,0,0.000,3,0.750,0,0.000,0,0.000,1,0.250,5,1.250,1,0,0,1967734,2018,2
"Howell, Hayden",Jr.,2017-18,F,79,32,50,95,0.526,4,12,0.333,18,30,0.600,63,1.969,9,0.281,4,0.125,7,0.219,122,3.813,27,0,0,1744198,2018,2
"Kohl, Kolton",So.,2017-18,C,84,25,15,36,0.417,0,0,0.000,9,18,0.500,23,0.920,3,0.120,10,0.400,0,0.000,39,1.560,8,0,0,1847910,2018,2
"Lenox, Trey",So.,2017-18,G,75,29,7,20,0.350,0,5,0.000,2,5,0.400,22,0.759,9,0.310,0,0.000,13,0.448,16,0.552,10,0,0,1847907,2018,2
"Lewis, Jaren",Jr.,2017-18,F,78,32,159,291,0.546,13,36,0.361,91,115,0.791,247,7.719,59,1.844,30,0.938,50,1.563,422,13.188,74,9,0,1744195,2018,2
"Maxwell, B.J.",So.,2017-18,G,77,31,43,92,0.467,11,31,0.355,9,16,0.563,69,2.226,20,0.645,11,0.355,8,0.258,106,3.419,15,0,0,1847904,2018,2
"Ricks, Payten",So.,2017-18,G,74,26,53,137,0.387,27,69,0.391,38,51,0.745,47,1.808,44,1.692,1,0.038,20,0.769,171,6.577,34,0,0,1847906,2018,2
"Tripp, Isaiah",Sr.,2017-18,G,73,27,26,70,0.371,13,37,0.351,11,16,0.688,27,1.000,23,0.852,1,0.037,16,0.593,76,2.815,15,0,0,1625908,2018,2
"Brown, Kendall",Sr.,2017-18,G,76,26,131,290,0.452,30,78,0.385,125,166,0.753,143,5.500,39,1.500,0,,22,0.846,417,16.038,55,3,0,1854199,2018,30123
"Conway, Nick",Fr.,2017-18,F,77,25,22,48,0.458,2,8,0.250,16,25,0.640,25,1.000,3,0.120,2,0.080,2,0.080,62,2.480,10,0,0,1961318,2018,30123
"Davis, Gary",So.,2017-18,G,72,5,6,21,0.286,1,7,0.143,11,17,0.647,8,1.600,6,1.200,0,,2,0.400,24,4.800,4,0,0,1854200,2018,30123
"Long, Kiel",Jr.,2017-18,G,76,26,42,127,0.331,28,86,0.326,9,20,0.450,97,3.731,27,1.038,3,0.115,19,0.731,121,4.654,27,0,0,1961320,2018,30123
"Maxwell, Chance",So.,2017-18,G,73,9,3,7,0.429,0,0,,1,2,0.500,7,0.778,5,0.556,0,,1,0.111,7,0.778,5,0,0,1854201,2018,30123
"Milivojevic, Stefan",Fr.,2017-18,G,75,24,36,76,0.474,24,50,0.480,17,19,0.895,47,1.958,9,0.375,0,,8,0.333,113,4.708,20,0,0,1961321,2018,30123
"Morgan, Cole",Jr.,2017-18,G,74,26,66,164,0.402,4,13,0.308,78,95,0.821,114,4.385,38,1.462,2,0.077,40,1.538,214,8.231,56,1,0,1961317,2018,30123
"Niven, Cameron",Jr.,2017-18,C,80,25,110,187,0.588,0,0,,15,34,0.441,158,6.320,13,0.520,28,1.120,11,0.440,235,9.400,26,3,0,1961323,2018,30123
"Okeneme, Uchenna",Sr.,2017-18,G,73,26,83,178,0.466,1,7,0.143,23,31,0.742,56,2.154,50,1.923,1,0.038,22,0.846,190,7.308,26,0,0,1625432,2018,30123
"Purnell, Aaron",Fr.,2017-18,G,77,17,15,43,0.349,8,27,0.296,6,8,0.750,16,0.941,2,0.118,0,,4,0.235,44,2.588,9,0,0,1961278,2018,30123
"Williams, Zuri",Jr.,2017-18,G,74,26,62,177,0.350,24,75,0.320,37,49,0.755,55,2.115,34,1.308,15,0.577,38,1.462,185,7.115,33,0,0,1961316,2018,30123
"Williams, Cobe",Jr.,2017-18,G,71,26,55,151,0.364,33,98,0.337,26,35,0.743,42,1.615,68,2.615,1,0.038,23,0.885,169,6.500,43,0,0,1741813,2018,30123
